"arc_length"	"Density","EnergyStagnationDensity","Ma","|m_i|"
0.781353	1	2.50001e-08	1.93698e-06	2.29189e-10
0.783121	1	2.5e-08	6.62359e-07	7.83719e-11
0.784889	1	2.5e-08	2.7382e-08	3.23988e-12
0.786656	1	2.5e-08	5.97044e-08	7.06432e-12
0.788424	1	2.5e-08	8.05116e-08	9.52626e-12
0.790192	1	2.5e-08	8.98016e-08	1.06255e-11
0.79196	1	2.5e-08	8.75753e-08	1.0362e-11
0.793727	1	2.5e-08	5.07755e-08	6.00783e-12
0.795495	1	2.5e-08	2.39298e-08	2.83141e-12
0.797263	1	2.5e-08	7.04024e-09	8.33013e-13
0.799031	1	2.5e-08	1.0694e-10	1.26533e-14
0.800798	1	2.5e-08	4.96813e-09	5.87837e-13
0.802566	1	2.5e-08	1.61731e-08	1.91362e-12
0.804334	1	2.5e-08	3.37228e-08	3.99014e-12
0.806102	1	2.5e-08	5.76158e-08	6.81719e-12
0.80787	1	2.5e-08	9.74968e-08	1.1536e-11
0.809637	1	2.5e-08	1.47643e-07	1.74694e-11
0.811405	1	2.5e-08	2.0806e-07	2.46179e-11
0.813173	1	2.5e-08	1.22055e-10	1.44417e-14
0.814941	1	2.5e-08	1.46362e-14	1.73178e-18
0.816708	1	2.5e-08	6.83088e-15	8.08241e-19
0.818476	1	2.5e-08	1.97892e-15	2.34148e-19
0.820244	1	2.5e-08	8.07498e-17	9.55445e-21
0.822012	1	2.5e-08	1.35073e-16	1.5982e-20
0.823779	1	2.5e-08	2.45596e-16	2.90594e-20
0.825547	1	2.5e-08	4.12331e-16	4.87877e-20
0.827315	1	2.5e-08	6.35262e-16	7.51652e-20
0.829083	1	2.5e-08	3.75861e-16	4.44725e-20
0.83085	1	2.5e-08	1.86602e-16	2.2079e-20
0.832618	1	2.5e-08	6.74659e-17	7.98268e-21
0.834386	1	2.5e-08	1.84644e-17	2.18474e-21
0.836154	1	2.5e-08	4.82383e-17	5.70763e-21
0.837922	1	2.5e-08	1.12036e-16	1.32563e-20
0.839689	1	2.5e-08	2.09864e-16	2.48314e-20
0.841457	1	2.5e-08	3.41719e-16	4.04328e-20
0.843225	1	2.5e-08	5.69035e-16	6.73292e-20
0.844993	1	2.5e-08	8.25133e-16	9.76311e-20
0.84676	1	2.5e-08	1.10999e-15	1.31336e-19
0.848528	1	2.5e-08	2.57411e-16	3.04573e-20
0.850296	1	2.5e-08	1.81673e-16	2.14958e-20
0.852064	1	2.5e-08	1.21621e-16	1.43904e-20
0.853831	1	2.5e-08	7.72629e-17	9.14186e-21
0.855599	1	2.5e-08	4.85927e-17	5.74957e-21
0.857367	1	2.5e-08	3.50338e-17	4.14525e-21
0.859135	1	2.5e-08	2.94209e-17	3.48113e-21
0.860902	1	2.5e-08	3.17546e-17	3.75725e-21
0.86267	1	2.5e-08	4.20351e-17	4.97366e-21
0.864438	1	2.5e-08	4.44923e-17	5.2644e-21
0.866206	1	2.5e-08	4.48575e-17	5.30761e-21
0.867974	1	2.5e-08	4.31304e-17	5.10326e-21
0.869741	1	2.5e-08	3.9311e-17	4.65134e-21
0.871509	1	2.5e-08	3.40391e-17	4.02756e-21
0.873277	1	2.5e-08	2.70349e-17	3.19881e-21
0.875045	1	2.5e-08	1.8299e-17	2.16516e-21
0.876812	1	2.5e-08	7.83054e-18	9.26522e-22
0.87858	1	2.5e-08	5.12102e-17	6.05927e-21
0.880348	1	2.5e-08	1.05672e-16	1.25033e-20
0.882116	1	2.5e-08	1.71212e-16	2.02581e-20
0.883883	1	2.5e-08	2.47835e-16	2.93242e-20
0.885651	1	2.5e-08	1.51375e-16	1.7911e-20
