"arc_length","Cspd","Density","eint","pres","velx"
3.933,0.211128,0.254097,0.0401175,0.00679584,0.366616
3.942,0.210753,0.252746,0.0399751,0.00673571,0.367741
3.951,0.210378,0.2514,0.039833,0.00667601,0.368866
3.96,0.210003,0.250058,0.0396912,0.00661673,0.369991
3.969,0.209628,0.248721,0.0395496,0.00655788,0.371115
3.978,0.209253,0.247389,0.0394082,0.00649945,0.37224
3.987,0.208878,0.246062,0.0392671,0.00644143,0.373365
3.996,0.208503,0.244739,0.0391263,0.00638383,0.37449
4.005,0.208129,0.243421,0.0389858,0.00632665,0.375614
4.014,0.207754,0.242108,0.0388455,0.00626988,0.376739
4.023,0.207379,0.2408,0.0387054,0.00621352,0.377864
4.032,0.207004,0.239497,0.0385656,0.00615756,0.378988
4.041,0.206629,0.238198,0.038426,0.00610201,0.380113
4.05,0.206254,0.236904,0.0382868,0.00604686,0.381237
4.059,0.205879,0.235615,0.0381477,0.00599211,0.382362
