Points_0,Points_1,Points_2,Points_Magnitude,Solution,arc_length,Point ID,vtkValidPointMask
-0.044,0,0,0.044,-0.882708,0.956,478,1
-0.042,0,0,0.042,-0.884384,0.958,479,1
-0.04,0,0,0.04,-0.88606,0.96,480,1
-0.038,0,0,0.038,-0.887735,0.962,481,1
-0.036,0,0,0.036,-0.889411,0.964,482,1
-0.034,0,0,0.034,-0.891087,0.966,483,1
-0.032,0,0,0.032,-0.892763,0.968,484,1
-0.03,0,0,0.03,-0.894438,0.97,485,1
-0.028,0,0,0.028,-0.896114,0.972,486,1
-0.026,0,0,0.026,-0.89779,0.974,487,1
-0.024,0,0,0.024,-0.899466,0.976,488,1
-0.022,0,0,0.022,-0.901141,0.978,489,1
-0.02,0,0,0.02,-0.902817,0.98,490,1
-0.018,0,0,0.018,-0.904493,0.982,491,1
-0.016,0,0,0.016,-0.906168,0.984,492,1
-0.014,0,0,0.014,-0.907844,0.986,493,1
-0.012,0,0,0.012,-0.90952,0.988,494,1
-0.01,0,0,0.01,-0.911196,0.99,495,1
-0.008,0,0,0.008,-0.912871,0.992,496,1
-0.006,0,0,0.006,-0.914547,0.994,497,1
-0.004,0,0,0.004,-0.916223,0.996,498,1
-0.002,0,0,0.002,-0.917899,0.998,499,1
0,0,0,0,-0.919574,1,500,1
0.002,0,0,0.002,-0.920785,1.002,501,1
0.004,0,0,0.004,-0.921996,1.004,502,1
0.006,0,0,0.006,-0.923207,1.006,503,1
0.008,0,0,0.008,-0.924418,1.008,504,1
0.01,0,0,0.01,-0.925629,1.01,505,1
0.012,0,0,0.012,-0.926839,1.012,506,1
0.014,0,0,0.014,-0.92805,1.014,507,1
0.016,0,0,0.016,-0.929261,1.016,508,1
0.018,0,0,0.018,-0.930472,1.018,509,1
0.02,0,0,0.02,-0.931683,1.02,510,1
0.022,0,0,0.022,-0.932894,1.022,511,1
0.024,0,0,0.024,-0.934105,1.024,512,1
0.026,0,0,0.026,-0.935315,1.026,513,1
